# BLOCK:     DISTANCE:     ACTUAL_AVE_GOFR:
          10     5.29991    0.985115
          10     5.36454    0.985203
          10     5.42918    0.987326
          10     5.49381    0.987238
          10     5.55844    0.984776
          10     5.62307    0.987487
          10     5.68771    0.983253
          10     5.75234    0.986247
          10     5.81697    0.984314
          10     5.88161    0.987243
          10     5.94624    0.989578
          10     6.01087    0.988881
          10     6.07551    0.985437
          10     6.14014    0.985743
          10     6.20477    0.982825
          10      6.2694    0.985909
          10     6.33404    0.985773
          10     6.39867    0.986423
          10      6.4633    0.985863
